Name,ECLP time,ECLP nodes,ECLP cost,ALL time,ALL nodes,ALL cost,GOOD RF time,GOOD RF nodes,GOOD RF cost,GOOD NN time,GOOD NN nodes,GOOD NN cost,RAND70 time,RAND70 nodes,RAND70 cost,RAND50 time,RAND50 nodes,RAND50 cost
netgen24-5-6_maxregret,62.018889072,50609,319,36.373954042,17285,319,34.176864118,18815,319,35.524984168,18534,319,55.248470105,32405,319,52.484413357,28633,319
netgen24-5-7_maxregret,13.364377232,11451,347,8.879558814,4968,347,9.500601612,5738,347,10.767051236,5755,347,13.322167249,8854,347,13.321411534,8391,347
netgen24-5-8_maxregret,249.975785195,292998,319,31.420246793,23480,319,31.41808299,25487,319,32.637068515,23467,319,239.40999827,227386,319,147.763433116,126840,319
netgen24-5-9_maxregret,3600,4429777,_18757283,3600,2471332,_19038163,3600,2715044,_19038009,3600,2663166,_19038010,3600,3237342,_19038009,3600,3009127,_19037854
netgen25-2-10_maxregret,3600,8096015,_19540019,3600,4018416,_19857267,3600,4632336,_19857110,3600,4839439,_19857111,3600,5768397,_19856952,3600,5170768,_19857110
netgen25-2-11_maxregret,3600,6024587,_19539568,3600,3344546,_19854323,3600,3697901,_19854008,3600,3368404,_19854009,3600,4132878,_19854166,3600,3860389,_19854166
netgen25-2-12_maxregret,3600,8356175,_19540072,3600,4026539,_19857035,3600,4342652,_19856720,3600,4238954,_19856879,3600,5463263,_19856878,3600,5200551,_19856879
netgen25-2-13_maxregret,3600,3983760,_19539767,3600,2349697,_19855607,3600,2638582,_19855306,3600,2574107,_19855465,3600,2940412,_19855464,3600,2774192,_19855306
netgen25-2-14_maxregret,3600,6812380,_19539934,3600,3862379,_19856892,3600,4327818,_19856735,3600,3869062,_19856736,3600,4894586,_19856735,3600,4499611,_19856577
netgen25-2-15_maxregret,3600,5838418,_19540068,3600,3213251,_19857261,3600,3456778,_19857104,3600,3425309,_19857105,3600,4308798,_19857104,3600,3804443,_19857105
netgen25-2-16_maxregret,3600,4206536,_19539675,3600,2623730,_19855582,3600,2934049,_19855425,3600,2767826,_19855426,3600,3267485,_19855426,3600,2995149,_19855425
netgen25-2-1_maxregret,3600,6111675,_19539954,3600,3164413,_19855332,3600,3729837,_19855175,3600,3655501,_19855176,3600,4227326,_19855175,3600,4073640,_19855017
netgen25-2-2_maxregret,3600,6598177,_19540014,3600,3989003,_19857490,3600,4108305,_19857175,3600,4117917,_19857334,3600,5223879,_19857175,3600,5048269,_19857175
netgen25-2-3_maxregret,3600,6360008,_19539943,3600,3384239,_19857057,3600,3762742,_19856900,3600,3681263,_19856901,3600,4512846,_19856742,3600,4119122,_19856742
netgen25-2-4_maxregret,22.989910371,21162,199,29.206494083,17990,199,25.210651364,16489,199,25.753778829,16430,199,25.159168353,18041,199,22.054321042,14428,199
netgen25-2-5_maxregret,3600,7900955,_19539972,3600,3822515,_19856976,3600,4204813,_19856819,3600,4048501,_19856820,3600,5484722,_19856819,3600,4698191,_19856819
netgen25-2-6_maxregret,3600,6735270,_19539916,3600,3660587,_19855186,3600,4193740,_19854871,3600,4015858,_19855030,3600,4931456,_19855029,3600,4363043,_19854871
netgen25-2-7_maxregret,3600,5872637,_19539924,3600,3385803,_19856880,3600,3712055,_19856723,3600,3521651,_19856883,3600,4175391,_19856724,3600,3956038,_19856723
netgen25-2-8_maxregret,3600,3785789,_19539836,3600,2230332,_19855021,3600,2527971,_19854706,3600,2429676,_19854707,3600,2897288,_19854706,3600,2737429,_19854706
netgen25-2-9_maxregret,3600,8162574,_19539986,3600,3424966,_19855799,3600,3768709,_19855484,3600,3793819,_19855643,3600,5684342,_19855484,3600,5212062,_19855484
netgen26-5-10_maxregret,3600,5309692,_20322725,3600,2492234,_20678153,3600,3268416,_20677832,3600,2976223,_20678156,3600,3970952,_20677832,3600,3643692,_20677994
netgen26-5-11_maxregret,3600,3434029,_20322835,1221.099678202,688791,292,1128.468408948,744554,292,1229.212869035,762506,292,3600,2560620,_20677198,3600,2534257,_20677198
netgen26-5-12_maxregret,3600,4351081,_20323059,3600,2406903,_20678825,3600,3165011,_20678665,3600,3176059,_20678666,3600,3440350,_20678665,3600,3313344,_20678665
netgen26-5-13_maxregret,3600,3499201,_20322710,3600,1638111,_20678256,3600,2170841,_20678096,3600,2074884,_20678259,3600,2608256,_20678097,3600,2436301,_20678258
netgen26-5-14_maxregret,3600,4032568,_20322849,3600,2328221,_20678652,3600,2599348,_20678493,3600,2533229,_20678655,3600,2826441,_20678492,3600,2723956,_20678331
netgen26-5-15_maxregret,3600,3554314,_20322944,3600,1957054,_20678488,3600,2566982,_20678328,3600,2429686,_20678329,3600,2756034,_20678179,3600,2671828,_20678328
netgen26-5-16_maxregret,3600,2988332,_20322754,250.540565472,130219,345,296.616938279,191933,345,315.374392314,201493,345,3600,2224556,_20676738,3600,2098498,_20676900
netgen26-5-1_maxregret,3600,3898916,_20322843,3600,2056808,_20677895,3600,2652822,_20677897,3600,2633063,_20677898,3600,2938970,_20677574,3600,2756387,_20677735
netgen26-5-2_maxregret,3600,3892356,_20322773,3600,2542516,_20677440,3600,2727351,_20677280,3600,2539424,_20677443,3600,3110391,_20677442,3600,2927457,_20677280
netgen26-5-3_maxregret,3600,5995080,_20322898,3600,3504686,_20678928,3600,3756511,_20678769,3600,3815077,_20678931,3600,4257771,_20678768,3600,4127671,_20678607
netgen26-5-4_maxregret,3600,5079479,_20322963,3600,2792667,_20678002,3600,3242457,_20678004,3600,3124246,_20678005,3600,3616311,_20677681,3600,3646237,_20677681
netgen26-5-5_maxregret,3600,5574849,_20322676,3600,2645541,_20677592,3600,3587296,_20677594,3600,3443319,_20677595,3600,4048570,_20677433,3600,3745437,_20677271
netgen26-5-6_maxregret,3600,4015682,_20323034,3600,1894523,_20677716,3600,2598538,_20677718,3600,2517563,_20677719,3600,3005995,_20677557,3600,2606019,_20677557
netgen26-5-7_maxregret,3600,4703472,_20322786,3600,2699508,_20677574,3600,3220570,_20677576,3600,2990063,_20677415,3600,3392664,_20677415,3600,3243528,_20677576
netgen26-5-8_maxregret,3600,3639582,_20322843,3600,2183588,_20678159,3600,2366069,_20678161,3600,2303563,_20678162,3600,2693957,_20677838,3600,2551842,_20677838
netgen26-5-9_maxregret,3600,4066980,_20322789,3600,2023655,_20677141,3600,2693786,_20676981,3600,2726651,_20676982,3600,3036940,_20676820,3600,2814215,_20676981
netgen27-2-10_maxregret,3600,8257738,_21105625,3600,4287711,_21487897,3600,5050553,_21487734,3600,4886385,_21502157,3600,5312397,_21502156,3600,5010308,_21487734
netgen27-2-11_maxregret,3600,5916629,_21104884,3600,3239532,_21486238,3600,3494490,_21498508,3600,3688691,_21498673,3600,4333323,_21498508,3600,3631558,_21498508
netgen27-2-12_maxregret,3600,6315670,_21105581,3600,3522533,_21487888,3600,3972905,_21487725,3600,4094832,_21501927,3600,4213635,_21501927,3600,4039760,_21501762
netgen27-2-13_maxregret,3600,5226100,_21105122,3600,3165889,_21487099,3600,3577868,_21486772,3600,3552473,_21486773,3600,3967110,_21500300,3600,3675387,_21486772
netgen27-2-14_maxregret,3600,6983758,_21105418,3600,3321497,_21487728,3600,3772274,_21487565,3600,3665658,_21487566,3600,4875657,_21501518,3600,3986109,_21501847
netgen27-2-15_maxregret,3600,5948353,_21105676,3600,3131325,_21487734,3600,3391167,_21487736,3600,3526878,_21487737,3600,3967569,_21487407,3600,3828147,_21487571
netgen27-2-16_maxregret,3600,4444620,_21104943,3600,2486187,_21487595,3600,2951830,_21500266,3600,2886800,_21500267,3600,3288327,_21500102,3600,2951913,_21500102
netgen27-2-1_maxregret,3600,7066061,_21105507,3600,3331338,_21486170,3600,3880797,_21486007,3600,3976008,_21486008,3600,4554387,_21486007,3600,4024400,_21486172
netgen27-2-2_maxregret,3600,5634215,_21105537,3600,3276358,_21487975,3600,3568236,_21487812,3600,3584144,_21502117,3600,3903658,_21502117,3600,3530129,_21487813
netgen27-2-3_maxregret,3600,6858076,_21105429,3600,3203517,_21487890,3600,3698830,_21487727,3600,3590759,_21487728,3600,4672736,_21487728,3600,4188219,_21487892
netgen27-2-4_maxregret,3600,2807909,_21105314,3600,1830778,_21501733,3600,2099930,_21501406,3600,2069273,_21501407,3600,2115255,_21501406,3600,1994232,_21501570
netgen27-2-5_maxregret,3600,6915956,_21105386,3600,3750607,_21487870,3600,4098946,_21487707,3600,3958699,_21487708,3600,5366323,_21487707,3600,4532045,_21487872
